Full car name;Brand;Generation;Model series;Manufacturer internal code;Model series launch date;Model series end date;Engine version;Engine subversion;Model launch date;Model end date;Fuel type;Total consumption;Power (KW);Power (HP);Displacement (ccm);Base price;Engine type;Drivetrain type;Gearbox type;Number of gears;Curb weight (kg);Gross weight (kg);Body type;Number of doors;Number of seats normal;Number of seats maximum;Acceleration (s);Top speed (km/h);
BMW 315 (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;315;(4-Gang);03.1981;06.1984;Super Plus;k.A.;55;75;1573;8487;Otto;Hinterrad;Schaltgetriebe;4;1050;1440;Stufenheck;2;5;-;14,8;154;
BMW 315 (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;315;(5-Gang);03.1981;06.1984;Super Plus;k.A.;55;75;1573;8752;Otto;Hinterrad;Schaltgetriebe;5;1050;1440;Stufenheck;2;5;-;14,8;154;
BMW 316 (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;316;(4-Gang);08.1979;08.1980;Normal;k.A.;66;90;1573;8308;Otto;Hinterrad;Schaltgetriebe;4;1020;1440;Stufenheck;2;5;-;13,8;160;
BMW 316 (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;316;(5-Gang);08.1979;08.1980;Normal;k.A.;66;90;1573;8661;Otto;Hinterrad;Schaltgetriebe;5;1020;1440;Stufenheck;2;5;-;13,8;160;
BMW 316 (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;316;(4-Gang);09.1980;08.1982;Super Plus;k.A.;66;90;1766;9229;Otto;Hinterrad;Schaltgetriebe;4;1020;1450;Stufenheck;2;5;-;12,5;163;
BMW 316 (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;316;(5-Gang);09.1980;08.1982;Super Plus;k.A.;66;90;1766;9620;Otto;Hinterrad;Schaltgetriebe;5;1020;1450;Stufenheck;2;5;-;12,5;163;
BMW 316 Automatik;BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;316;Automatik;09.1980;08.1982;Super Plus;k.A.;66;90;1766;10070;Otto;Hinterrad;Automatikgetriebe;3;1030;1450;Stufenheck;2;5;-;14,7;158;
BMW 318 (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318;(4-Gang);08.1979;08.1980;Normal;k.A.;72;98;1766;8871;Otto;Hinterrad;Schaltgetriebe;4;1030;1440;Stufenheck;2;5;-;11,9;165;
BMW 318 (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318;(5-Gang);08.1979;08.1980;Normal;k.A.;72;98;1766;9224;Otto;Hinterrad;Schaltgetriebe;5;1030;1440;Stufenheck;2;5;-;11,9;165;
BMW 318 Automatik;BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318;Automatik;08.1979;08.1980;Normal;k.A.;72;98;1766;9630;Otto;Hinterrad;Automatikgetriebe;3;1040;1440;Stufenheck;2;5;-;14,1;160;
BMW 318i (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318i;(4-Gang);11.1979;08.1982;Super Plus;k.A.;77;105;1766;10277;Otto;Hinterrad;Schaltgetriebe;4;1030;1460;Stufenheck;2;5;-;11,5;171;
BMW 318i (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318i;(5-Gang);11.1979;08.1982;Super Plus;k.A.;77;105;1766;10668;Otto;Hinterrad;Schaltgetriebe;5;1030;1460;Stufenheck;2;5;-;11,5;171;
BMW 318i Automatik;BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;318i;Automatik;11.1979;08.1982;Super Plus;k.A.;77;105;1766;11118;Otto;Hinterrad;Automatikgetriebe;3;1040;1460;Stufenheck;2;5;-;13,2;166;
BMW 320 (4-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;320;(4-Gang);08.1979;12.1981;Super Plus;k.A.;90;122;1990;10712;Otto;Hinterrad;Schaltgetriebe;4;1090;1520;Stufenheck;2;5;-;10,7;181;
BMW 320 (5-Gang);BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;320;(5-Gang);01.1982;08.1982;Super Plus;k.A.;90;122;1990;11402;Otto;Hinterrad;Schaltgetriebe;5;1090;1520;Stufenheck;2;5;-;10,7;181;
BMW 320 Automatik;BMW;E21;3er-Reihe (E21) Limousine (08/79 - 06/84);E21;08.1979;06.1984;320;Automatik;08.1979;08.1982;Super Plus;k.A.;90;122;1990;12059;Otto;Hinterrad;Automatikgetriebe;3;1100;1520;Stufenheck;2;5;-;13,0;176;
